authors,original_title,image_url
Herman Melville,"moby-dick or, the whale",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327940656i/153747._SY75_.jpg
John Irving,a prayer for owen meany,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260470010i/4473._SY75_.jpg
Cassandra Clare,clockwork angel ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1693490271i/7171637._SY75_.jpg
Albert Camus,the stranger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590930002i/49552._SY75_.jpg
Sue Monk Kidd,the secret life of bees,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628532099i/37435._SY75_.jpg
Anita Diamant,the red tent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117i/4989._SY75_.jpg
J.K. Rowling,harry potter and the chamber of secrets ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881._SY75_.jpg
Patrick Rothfuss,the name of the wind ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1270352123i/186074._SX50_.jpg
Mikhail Bulgakov,the master and margarita,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867963i/117833._SY75_.jpg
Franz Kafka,the metamorphosis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646444605i/485894._SY75_.jpg
Jeffrey Eugenides,middlesex,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437029776i/2187._SY75_.jpg
J.R.R. Tolkien,the hobbit ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907._SY75_.jpg
Christopher Paolini,eragon ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436._SX50_.jpg
Mark Twain,the adventures of tom sawyer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404811979i/24583._SY75_.jpg
John Green,looking for alaska,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652042180i/99561._SY75_.jpg
Paulo Coelho,the alchemist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865._SY75_.jpg
Roald Dahl,charlie and the chocolate factory ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309211401i/6310._SY75_.jpg
Eric Carle,the very hungry caterpillar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603739265i/4948._SX50_.jpg
Mark Haddon,the curious incident of the dog in the night-time,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863624i/1618._SY75_.jpg
Alexandre Dumas,the count of monte cristo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611834134i/7126._SY75_.jpg
Rick Riordan,the last olympian ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519022209i/4556058._SX50_.jpg
Carlos Ruiz Zafón,the shadow of the wind ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628791882i/1232._SY75_.jpg
Mitch Albom,tuesdays with morrie,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423763749i/6900._SY75_.jpg
C.S. Lewis,"the lion, the witch and the wardrobe ",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915._SY75_.jpg
Milan Kundera,the unbearable lightness of being,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265401884i/9717._SY75_.jpg
Jack Kerouac,on the road,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658929891i/70401._SY75_.jpg
Umberto Eco,the name of the rose,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415375471i/119073._SY75_.jpg
Mario Puzo,the godfather ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394988109i/22034._SY75_.jpg
Wilson Rawls,where the red fern grows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518702249i/10365._SY75_.jpg
Truman Capote,in cold blood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424931136i/168642._SY75_.jpg
Louis Sachar,holes ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618269830i/38709._SX50_.jpg
Nathaniel Hawthorne,the scarlet letter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404810944i/12296._SY75_.jpg
Patrick Süskind,perfume: the story of a murderer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409112276i/343._SY75_.jpg
Chuck Palahniuk,fight club,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558216416i/36236124._SY75_.jpg
Mitch Albom,the five people you meet in heaven,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541i/3431._SX50_.jpg
Neil Gaiman,american gods,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462924585i/30165203._SY75_.jpg
Dr. Seuss,the cat in the hat ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093._SX50_.jpg
Dante Alighieri,the divine comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657540227i/6656._SY75_.jpg
Alan Moore,watchmen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442239711i/472331._SY75_.jpg
Becca Fitzpatrick,"hush, hush ",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664._SY75_.jpg
Erich Maria Remarque,all quiet on the western front,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632027397i/355697._SY75_.jpg
Laura Ingalls Wilder,the little house collection ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577932823i/114345._SX50_.jpg
Larry McMurtry,lonesome dove ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559668037i/256008._SY75_.jpg
J.M. Barrie,peter pan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337714526i/34268._SX50_.jpg
Terry Pratchett,"good omens: the nice and accurate prophecies of agnes nutter, witch",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615552073i/12067._SY75_.jpg
Jerry Weaver,the addiction manifesto,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626523225i/58572970._SX50_.jpg
Leigh Bardugo,six of crows ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651710803i/23437156._SY75_.jpg
Gabriel García Márquez,love in the time of cholera,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644691354i/9712._SY75_.jpg
Veronica Roth,insurgent ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618525340i/11735983._SY75_.jpg
Nicholas Sparks,a walk to remember,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498755310i/35545737._SY75_.jpg
Colleen McCullough,the thorn birds,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548530867i/3412._SY75_.jpg
Adam Long,the compleat works of wllm shkspr,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347579233i/1423._SX50_.jpg
Rick Riordan,the battle of the labyrinth ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518607478i/2120932._SX50_.jpg
Richelle Mead,shadow kiss ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361099049i/2802316._SY75_.jpg
Douglas Adams,the ultimate hitchhiker's guide to the galaxy ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13._SY75_.jpg
Dr. Seuss,how the grinch stole christmas!,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327958149i/113946._SX50_.jpg
Rick Riordan,the titan's curse ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038385i/561456._SY75_.jpg
Cassandra Clare,clockwork princess ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436788488i/18335634._SY75_.jpg
Zora Neale Hurston,their eyes were watching god,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368072803i/37415._SY75_.jpg
Oscar Wilde,the importance of being earnest,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298438452i/92303._SY75_.jpg
Rick Riordan,the sea of monsters ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602661i/28186._SX50_.jpg
Ian McEwan,atonement,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320449708i/6867._SY75_.jpg
Elizabeth Gilbert,"eat, pray, love",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414i/19501._SY75_.jpg
L. Frank Baum,the wonderful wizard of oz ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398003737i/236093._SY75_.jpg
Alexandre Dumas,the three musketeers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630475503i/7190._SX50_.jpg
Dr. Seuss,the lorax,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327879938i/7784._SX50_.jpg
Margaret Wise Brown,goodnight moon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439223893i/32929._SX50_.jpg
James Dashner,the maze runner ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375596592i/6186357._SY75_.jpg
Suzanne Collins,catching fire ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941i/6148028._SY75_.jpg
William Shakespeare,a midsummer night's dream,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327874534i/1622._SY75_.jpg
Richelle Mead,frostbite ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098960i/2282133._SY75_.jpg
Shirley Jackson,the haunting of hill house,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327871336i/89717._SY75_.jpg
Thomas Hardy,tess of the d'urbervilles,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1633063778i/32261._SY75_.jpg
Suzanne Collins,the hunger games trilogy boxset ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360094673i/7938275._SY75_.jpg
Joseph Conrad,heart of darkness,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392799983i/4900._SX50_.jpg
Richelle Mead,blood promise ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442530605i/5996153._SY75_.jpg
Sarah J. Maas,throne of glass ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495278054i/7896527._SY75_.jpg
Kahlil Gibran,the prophet,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355046521i/2547._SY75_.jpg
Katherine Paterson,bridge to terabithia,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532478367i/40940121._SY75_.jpg
Agatha Christie,murder on the orient express ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486131451i/853510._SY75_.jpg
Pearl S. Buck,the good earth ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312497600i/1078._SY75_.jpg
Jack London,the call of the wild,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452291694i/1852._SY75_.jpg
Donna Tartt,the secret history,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451554846i/29044._SY75_.jpg
Amy Tan,the joy luck club,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1304978653i/7763._SY75_.jpg
